playgroundbuy,"Build a tennis court! Where people will play tennis, of course? Every third will pay twice as much!","Побудуйте майданчик для тенісу! Де люди будуть займатися тенісом, логічно ? Кожен 3 буде платити в 2 рази більше!","Zbuduj kort tenisowy! Gdzie ludzie b?d? gra? w tenisa, oczywi?cie? Co trzeci zap?aci dwa razy wi?cej!"
playgroundrent,You had a great time playing tennis!,Ви чудово провели час граючи в теніс!,"?wietnie si? bawi?e?, graj?c w tenisa!"
cryptodesk,"You can convert your funds into your cryptocurrency! However, the exchange rate will change each round, which will alter your stake! For breaking such a contract, a fee equal to 10% of all your funds will be charged!","Ви можете перевести свої кошти у свою криптовалюту! однак курс обміну змінюватиметься кожного раунду, що змінить вашу долю! За розірвання такого договору з вас стягується сума в розмірі 10% усіх ваших коштів!","Mo?esz przekszta?ci? swoje ?rodki w swoj? kryptowalut?! Jednak kurs wymiany b?dzie si? zmienia? w ka?dej rundzie, co wp?ynie на тв?j udzia?! Za zerwanie takiej umowy zostanie pobrana op?ata w wysoko?ci 10% wszystkich Twoich ?rodk?w!"
japanesehouse,Museum of Japan,Музей японії,Muzeum Japonii
japanesehousebuy,"Invest your funds in the Museum of Japan! Each tourist will pay an entrance fee, and every tenth will pay 10?!","Вкладіть свої кошти в музей японій! Кожен турист буде платити за вхід, а кожен десятий буде відавати в 10-x!","Zainwestuj swoje ?rodki w Muzeum Japonii! Ka?dy turysta zap?aci op?at? za wej?cie, a co dziesi?ty zap?aci 10?!"
japanesehouserent,You visited a wonderful museum!,Ви сходили в чудовий музей!,Odwiedzi?e? wspania?e muzeum!
pizzeria,Dominos,Домінос,Dominos
pizzeriabuy,You can become the founder of Dominos Pizza!,Ви можете стати засновником домінос піци!,Mo?esz zosta? za?o?ycielem pizzerii Dominos!
pizzeriarent,You ate delicious pizza!,Ви зїли смачну піцу!,Zjad?e? pyszn? pizz?!
creditbank,Bank,Банк,Bank
creditbankbuy,"You can take out a loan to dominate the board, but don’t forget you’ll need to repay the interest!","Ви можете взяти кредит! Що б домінувати на карті, однак не забувайте, що % потрібно буде повернути!","Mo?esz wzi?? kredyt, aby zdominowa? plansz?, але не забудь, що доведеться повернути відсотки!"
menu,Menu,Меню,Menu
bug ,Bug,Баг,Błąd
report!,Report!,Репорт!,Zgłoś!
bug report,Bug Report!,Баг репорт!,Raport o błędzie!
header,Title,Загаловок,Tytuł
description,Description,Опис,Opis
send,Submit!,Відправити!,Wyślij!
you lost!,You Lost!,Ви програли!,Przegrałeś!
rent:,Pay:,Заплатити:,Zapłać:
skip,Skip,Пропустити,Pomiń
skipbutton,Skip,Пропустити,Pomiń
subscribebutton,Subscribe,Підписатися,Subskrybuj
count coin:,Gold Amount,Кількість золота,Ilość złota
count round,Round Count,Кількість раундів,Liczba rund
percent for round:,Percentage per Round,відсоток за раунд,Procent za rundę
